0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
lesion,patient,damage,deficit,impairment,associated,function,focal,preserved,test,unilateral,case,clinical,mapping,performance,manic,based,may,hemisphere,see,role,symptom,severe,anatomical,ability,involvement,critical,range,finding,lobe,distribution,syndrome,assessment,loss,testing,specific,non,integrity,analysis,neurological
stress,reactivity,laughter,level,induced,acute,coping,axis,psychosocial,salivary,time,response,baseline,induction,higher,life,increased,well,activation,post,related,subject,psychological,physiological,day,point,limbic,sensitive,affect,healthy,human,pattern,prefrontal,reaction,regulation,vulnerability,state,change,reduced,assessment
acc,anterior cingulate cortex,dorsal,rostral acc,conflict,suicide,involved,role,cingulate cortex,cognitive,monitoring,behavior,process,suicidal,anterior cingulate,cingulate,subgenual,pregenual,rostral,function,may,increased,system,x,attention,detected,perigenual,division,regulation,decreased,bilateral,part,review,point,basis,cortex acc,caudal acc,lower,circuit,insula
patient,healthy,group,clinical,control,age,difference,results,comparison,test,disease,one,related,decreased,level,brain,hospital,analysis,without,reported,due,sample,increased,duration,number,compensate,symptom,impairment,characteristic,dysfunction,diagnosis,neurological,patients show,function,medication,pathological,alteration,correct,severe,size
s1,supplementary,s2,hypnosis,see,s3,pas,s4,c2,s5,sensory,individual,without,sample,general,bilateral,abstract,alteration,induction,decreased,attention,depth,dissociation,induced,relevant,value,splint,fast,representation,primary somatosensory cortex,reported,potential,clear,level,anterior,reduction,linked,correct,expected,reduced
ifg,ipl,mfg,spl,left,bilateral,inferior frontal gyrus,process,role,involved,neural,inferior parietal lobule,information,middle frontal gyrus,sma,addition,analysis,value,results,network,based,superior parietal lobule,precuneus,beta,multiple,frontal,program,four,precentral gyrus,defined,part,triangular,interaction,suggest,relevant,pars triangularis,fronto parietal,pars opercularis,demand,index
high,low,level,higher,effort,lower,medium,frequency,contrast,value,four,resolution,median,results,range,addition,greater,gift,manipulation,main,sensitive,low level,top,order,average,contribution,due,affect,female,see,show,divided,influence,poor,good,resource,pre,large,relevant,measures
state,name,goal,referential,first,dream,induced,approach,subject,oriented,work,one,focus,well,open,son,impact,failure,cognitive dissonance,show,cognitive,part,act,system,issue,paradigm,period,least,ideal,third,minimal,clear,motivation,local,people,making,term,theory,internal,entering
caudate,dopamine,striatal,striatum,da,caudate nucleus,midbrain,putamen,ventral striatum,associated,system,dorsal striatum,ventral,caudate putamen,role,neuronal,human,dorsal,fronto striatal,receptor,nucleus accumbens,availability,head,behavior,substantia nigra,projection,animal,corticospinal,signaling,finding,cortico,ventral tegmental area,habenula,cortical,limbic,bilateral,x,subcortical,results,pathway
game,intention,partner,human,behavior,computer,cooperative,rejection,interaction,trust,punishment,brain,agency,one,response,neural,first,agent,role,joint,involved,results,social interaction,acceptance,money,see,may,associated,rate,norm,economic,right,contrast,altruistic,level,outcome,time,region,decision,order
task,one,performance,button,presented,difference,control task,demand,results,fixation,rest,response,related,experimental,activation,active,press,cognitive,may,difficult,order,instruction,process,four,comparison,specific,simple,baseline,task demands,activity,cognitive task,control,common,complete,reaction time,first,hand,behavior,level,condition
recall,ambiguous,ambiguity,ht,dominant,order,memory recall,availability,resolution,uncertainty,see,memory consolidation,clear,potential,aversion,reference,partial,intermediate,correct,range,well,ache,never,intolerance,distribution,role,case,pre,field,return,combined,containing,spontaneous recovery,referred,prefrontal cortex,sense,place,modified,individual,absence
hippocampus,medial temporal,parahippocampal,memory,parahippocampal gyrus,structure,lobe,relationship,bilateral,posterior,anterior hippocampus,associated,function,right,role,well,volume,finding,episodic memory,anterior posterior,human,may,axis,dependent,anterior,head,critical,scanning,tail,single,formation,animal,see,declarative memory,spatial,suggest,combined,healthy,sample,multiple
music,musical,rhythm,musicians,expertise,listening,structure,melody,process,brain,perception,professional,experience,dance,song,right,chord,one,well,without,auditory,level,bilateral,instrumental,training,dissonance,tg,part,finding,reported,acoustic,scale,related,stimuli,control,contrast,consonant,difference,listened,test
regulation,emotion regulation,reappraisal,cognitive,emotional,negative,instruction,regulate,negative affect,image,strategies,affect,condition,rating,negative emotion,strategy,neural,success,negative emotions,one,region,response,prefrontal,task,affective,may,cognitive control,ability,contrast,suppression,use,self report,associated,attended,left,reactivity,decreased,trial,experience,activation
reward,motivation,anticipation,ventral striatum,incentive,reward processing,punishment,monetary,related,response,money,value,rewarding,task,neural,behavior,reward anticipation,sensitive,nucleus accumbens,system,outcome,monetary reward,trial,anhedonia,process,associated,striatal,magnitude,dopamine,mesolimbic,based,striatum,potential,stimuli,pleasure,ventral,analysis,reaction time,finding,type
placebo,effect,drug,concentration,induced,receptor,level,increased,treatment,acute,human,time,reduced,serotonin,inflammatory,blood,day,brain,system,response,subject,change,infusion,pharmacological,healthy,reduction,opioid,test,baseline,condition,endogenous,blind,double,neuronal,serotonergic,animal,activity,decreased,dependent,one
non,figure,pre,conflict,research,co,absence,x,hall,financial,beta,potential,axis,bar,shared,solid,todd,ground,text,iis,van,tune,border,post central gyrus,bell,lange,collection,family,gray,a6,basal nucleus,barnes,chromatic,circle,meyer,occipital pole,confidence,spots,becker,meynert
phonological,lexical,pseudoword,left,process,phonological processing,word,representation,frequency,spoken,activation,involved,item,phonemic,articulation,model,sublexical,task,conversion,posterior,consonant,one,written,access,semantic,sound,route,form,area,inferior frontal gyrus,superior temporal gyrus,lexicon,role,auditory,syllables,temporo parietal,word production,mapping,number,supramarginal gyrus
action,observation,mirror,neuronal,human,motor,goal,system,action observation,simulation,hand,representation,understanding,one,involved,specific,related,activation,premotor,intention,direct,goal directed,see,premotor cortex,role,grasping,activity,action execution,execution,left,part,experimental,parietal,finding,may,first,act,show,abstract,action perception
training,pre,post,change,time,transfer,effect,test,brain,induced,period,increased,results,one,plasticity,practice,day,program,experimental,complete,first,well,see,skill,control,neural,group,behavior,cognitive training,performance,gain,specific,measures,reduction,decreased,point,rest,level,baseline,new
visual cortex,blind,visual,sighted,tactile,occipital cortex,visual area,occipital,braille,cortex,vision,blindness,primary visual cortex,sensory,function,early,plasticity,visual cortices,checkerboard,early visual,deprivation,experience,extrastriate,cross modal,lgn,people,calcarine,subject,sight,age,reorganization,calcarine sulcus,show,visual system,congenital,rest,discrimination,ba18,ba17,contrast
age,related,older,aging,change,brain,effect,elderly,decline,old,function,associated,middle,healthy,range,linear,regression,process,compensate,frontal,sample,finding,increased,group,decreased,reported,ages,model,analysis,dependent,adult,pattern,relationship,ageing,results,cross,bilateral,reduced,cognitive,education
depression,mdd,healthy,episode,may,mood,clinical,depressive symptom,bipolar disorder,abnormal,illness,finding,bipolar,increased,medication,limbic,associated,region,history,symptom,control,severity,reported,decreased,diagnosis,disorder,major depressive disorder,major depression,sample,first,ii,rumination,scale,psychiatric,analysis,rating,iv,subgenual,results,emotional
object,loc,image,shape,grasp,function,one,grasping,object recognition,cortex,left,see,tool,use,region,contrast,lateral occipital,trial,presented,four,based,manipulation,results,area,location,representation,selective,size,picture,exploratory,time,role,part,task,stream,difference,visual,viewing,type,stimuli
frequency,power,band,alpha,eeg,gamma,beta,slow,oscillations,range,analysis,rhythm,activity,signal,delta,neuronal,fast,specific,cortical,low,results,spectrum,higher,spatial,brain,time,lower,reported,relationship,source,distribution,induced,value,associated,dependent,rem sleep,dynamic,multiple,right,show
early,stage,late,onset,first,nf1,process,period,time,life,acquisition,setting,acquired,results,subsequent,lower,contrast,age,critical,focus,average,divided,timing,mediated,apparent,help,access,ages,neurofibromatosis type 1,scheme,area 32,retention,naturalistic,area 13,pessimism,pes,pervasive,perspective,personnel,persistent vegetative state
anxiety,anticipation,trait anxiety,anxiety disorder,increased,social anxiety,associated,related,brain,general,clinical,healthy,symptom,disorder,state,worry,panic disorder,scale,specific,criticism,process,bnst,level,sample,finding,high,negative,emotional,social anxiety disorder,analysis,stimuli,questionnaire,sensitive,aversive,reported,psychiatric,right,self report,measures,higher
imagery,imagine,mi,motor imagery,foot,mental imagery,gait,walking,visual imagery,imagination,mental,movement,locomotor,kinesthetic,activation,ankle,task,brain,lower,limb,ability,subject,results,first,shoulder,may,active,rest,representation,finding,image,activity,knee,period,reported,leg,execution,involved,physical,questionnaire
experience,awareness,thought,mindfulness,feeling,mind,subject,brain,reported,related,associated,practice,one,wandering,focus,mental,death,questionnaire,compassion,conscious,may,life,sense,time,psychological,form,state,scale,finding,self report,attention,objective,physical,sensation,dai,active,without,non,internal,monitoring
ad,mci,atrophy,dementia,alzheimer disease,disease,group,clinical,diagnosis,pathological,early,may,region,analysis,amyloid,brain,patient,healthy,elderly,memory,episodic memory,mild cognitive impairment,control,change,image,associated,cognitive,based,loss,stage,results,cognitive decline,impairment,biomarker,mild,metabolic,amnestic,education,finding,medial temporal
use,cannabis,substance,drug,heavy,alcohol,marijuana,reported,associated,effect,may,history,past,illicit,chronic,finding,time,increased,marijuana use,greater,sample,adolescent,dependent,non,onset,urine,measures,brain,initiation,number,alteration,day,follow,self report,frequency,difference,total,age,period,altered
tool,infant,mother,parent,child,maternal,synchrony,father,baby,care,interaction,brain,parenting,sensitive,use,behavior,may,response,one,separation,praxis,viewing,human,specific,show,unfamiliar,early,contrast,stimuli,quality,home,birth,first,involved,maternal behavior,apraxia,experience,left,sample,research
voice,prosody,speaker,illusion,right,acoustic,prosodic,process,sts,vocal,speech,recognition,information,sensitive,analysis,linguistic,bilateral,direct,spoken,intonation,perception,stimuli,test,cues,human,communication,level,identification,contrast,hemisphere,first,part,one,suprasegmental,word,duration,temporal,temporal lobe,male,second
virtual,navigation,deception,egocentric,route,truth,pointing,lie,location,lying,maze,spatial,point,spatial navigation,human,spatial memory,survey,retrosplenial cortex,path,first,right,representation,one,trial,reality,map,goal,information,analysis,place,results,role,interaction,perspective,position,retrosplenial,distance,experimental,real world,based
video,gesture,communication,clips,viewing,video clips,watching,aon,film,related,interaction,brain,neural,process,naturalistic,iconic,see,occlusion,information,condition,hand,co,recognition,type,involved,observation,meaning,natural,movement,well,without,response,point,stimuli,ig,common,comparison,gestural,contrast,dance
scene,ppa,image,place,analysis,spatial,natural,region,subiculum,parahippocampal,dg,representation,viewing,visual,may,selective,complex,fine,parahippocampal cortex,ca1,coarse,results,construction,defined,posterior,object,main,specific,greater,individual,retrosplenial cortex,first,contrast,parahippocampal gyrus,high,single,picture,role,ca3,response
wm,wm task,maintenance,related,information,process,set,analysis,sample,left,order,bilateral,specific,results,role,involved,regression,relationship,spatial,capacity,dependent,common,verbal,digit,posterior,sensitive,encoding,comparison,reduced,ms,line,higher,resistance,part,size,direct,performance,match,suggest,item
smokers,smoking,nicotine,withdrawal,craving,cigarette,related,abstinence,drug,brain,nicotine dependence,reactivity,may,level,tobacco,smoking cessation,effect,sample,day,chronic,non,addiction,greater,neural,induced,co,cigarette smoking,reported,associated,scanning,increased,image,self report,dependent,research,acute,withdrawal symptoms,one,test,smoking behavior
learning,learned,associated,test,learn,novel,new,first,time,acquisition,trial,correct,second,behavior,based,learning task,consolidation,rate,see,testing,knowledge,one,change,scanning,involved,form,role,acquired,brain,presented,system,performance,day,well,interaction,neural,mechanisms,structure,formation,analysis
change,signal,tinnitus,increased,related,decreased,may,time,difference,subject,induced,reduction,dependent,due,analysis,neuronal,effect,show,magnitude,average,comparison,period,detected,measures,detection,blood,absence,threshold,multiple,value,altered,affect,global,habituation,contrast,duration,consecutive,characteristic,phantom,pulsatile
rule,shift,dimensional,updating,one,shifting,instruction,correct,set,based,first,card,trial,sorting,set shifting,stimulus,new,four,id,frontopolar cortex,order,type,process,active,number,information,second,activation,prefrontal cortex,relevant,contrast,time,cortex,cognitive,color,frontopolar,left,change,lead,flexibility
value,analysis,subject,based,one,number,individual,maps,approach,test,results,method,set,distribution,time,average,single,spatial,brain,standard,map,show,linear,variability,order,signal,see,function,use,space,first,point,regression,x,defined,difference,matrix,well,large,multiple
sleep,uncertainty,quality,night,vigilance,sleep deprivation,certainty,wake,clock,day,duration,time,associated,consolidation,increased,brain,insomnia,reduced,illegal,subject,level,reported,total,daytime,decreased,may,period,loss,first,non,poor,sleep disorder,due,light,variability,arousal,average,transition,number,suggest
posterior,anterior,region,dorsal,ventral,function,human,part,lateral,medical,anatomical,cortex,area,rostral,maps,caudal,organization,pathway,anterior posterior,location,portion,structure,stream,dorsal ventral,map,well,defined,hemisphere,axis,inferior,based,resolution,contrast,see,projection,pattern,middle,probability,mapping,dissociation
ms,source,latency,onset,difference,time,location,localization,latencies,head,analysis,results,stimulus,distribution,field,spatial,right,activity,cortical,interval,model,neural,resolution,first,finding,f1,grand,position,show,channel,space,magnetic,system,component,c1,orientation,may,one,average,active
symptom,ocd,severity,insight,clinical,disorder,abnormal,symptom severity,control,scale,finding,obsessive compulsive disorder,reported,brain,increased,dysfunction,medication,associated,may,dimensional,obsessive compulsive,total,tic,group,patient,alteration,hyperactivity,healthy,analysis,sample,psychiatric,illness,depression,specific,anxiety,obsession,tics,tourette syndrome,iv,thought
writing,drawing,style,phobia,phobic,specific,line,written,write,draw,hand,artistic,characteristic,exner,borderline,contrast,buffer,cognitive,process,agraphia,writer cramp,involved,central,subject,memory,order,part,well,x,fusiform gyrus,questionnaire,main,image,due,involvement,trace,precuneus,student,peripheral,prone
attention,attended,top,task,orienting,right,focus,spatial attention,selective attention,attentional control,location,spatial,relevant,one,ms,process,fronto parietal,shift,effect,visual attention,direct,visual,sustained attention,attending,may,left,driven,ventral,attention network,event,behavior,control,stimuli,stimulus,sensory,system,results,detection,divided attention,stream
women,female,sex,difference,men,gender,male,brain,higher,greater,level,sample,related,hormone,reported,specific,age,results,show,sexual,lower,well,finding,comparison,healthy,group,interaction,size,may,post,cycle,pattern,x,biological,effect,human,influence,hoc,status,dimorphic
visual,fixation,orientation,location,area,visual field,position,central,tracking,center,horizontal,vertical,peripheral,see,human,field,one,pupil,depth,ips,lower,visual area,neuronal,presented,representation,defined,parietal,region,upper,left,size,distance,show,space,line,four,right,higher,vision,bar
representation,concept,knowledge,abstract,similarity,specific,anterior temporal,lobe,information,based,one,associated,feature,function,distribution,form,perceptual,shared,manipulation,general,cortex,finding,role,theories,model,theory,common,temporal lobe,part,sensory motor,name,first,temporal,access,object,hub,semantic category,space,single,four
acupuncture,sham,stimulation,sensation,effect,brain,point,deep,specific,results,may,induced,aftereffect,clinical,response,one,manipulation,treatment,area,post,therapeutic,laser,related,transcranial,superficial,difference,experimental,intensity,analysis,healthy,limbic,control,local,medicine,rest,associated,region,chinese,subject,test
v,de,la,long term,le,immediate,du,impact,rose,vi,gu,club,enhancement,athlete,alert,hoffman,short,levin,shaw,sheehan,carmichael,shin,weber,availability,horizontal,disclosure,sleep apnea,trace,berman,feeding,post central gyrus,au,der,amaral,foley,rostroventral,schroeder,brodmann area 8,reid,dougherty
spatial,shape,visuospatial,rotation,relationship,mental rotation,process,location,reference,space,parietal,angle,involved,right,position,mr,difference,spatial information,parietal cortex,superior parietal,information,spatial processing,analog,type,image,involvement,interaction,dimensional,presented,one,mental,line,precuneus,posterior parietal,accuracy,response time,specific,bilateral,orientation,domain
social,attachment,social cognition,social interaction,brain,peer,well,interpersonal,people,inclusion,social context,social behavior,process,social cognitive,information,experience,person,one,response,relationship,social perception,social rejection,relevant,scale,higher,research,role,affective,see,interaction,reported,emotional,involved,influence,cues,may,self report,sensitive,basic,feeling
cortical,tms,surface,cortex,based,hemisphere,point,induced,area,head,magnetic stimulation,phantom,transcranial,intensity,magnetic,anatomical,distance,local,projection,resolution,cerebral cortex,remote,neuronal,individual,distribution,average,correct,field,pattern,channel,relationship,system,effect,sulci,white,stimulation,cortices,case,human,future
suppression,muscle,voluntary,vestibular,balance,bladder,involuntary,proprioceptive,postural,head,rest,floor,blink,pelvic,closure,micturition,bone,reflex,right,activation,induced,may,afferent,control,reported,activity,involved,initiation,rotation,phosphene,vibration,cortical,neck,response,center,inhibition,associated,subject,brain,sensory
motor,sma,m1,hand,sensorimotor,movement,motor cortex,pmd,premotor cortex,motor area,bilateral,primary motor cortex,premotor,task,related,area,supplementary motor area,function,rest,contralateral,motor control,sensory,left,motor task,ipsilateral,motor system,may,activation,sensorimotor cortex,execution,activity,limb,sensory motor,right,finger,premotor area,motor network,motor performance,muscle,cortices
stimuli,stimulus,process,response,presented,difference,type,results,one,experimental,see,comparison,contrast,order,ms,role,involved,level,event,neuronal,well,correct,reported,subject,specific,relevant,condition,button,individual,paradigm,analysis,rate,structure,based,random,trial,standard,single,main,neural
ba,ba 44,brodmann area,cortex ba,inferior parietal lobule,middle frontal gyrus,superior temporal gyrus,involved,inferior frontal gyrus,medial frontal gyrus,ff,x,prefrontal cortex,cingulate gyrus,posterior cingulate,anterior cingulate,monitoring,information,middle temporal gyrus,middle,prefrontal,parahippocampal gyrus,reported,superior frontal gyrus,gyrus ba,precuneus,reference,anterior cingulate gyrus,temporal gyri,fusiform gyrus,portion,neurological,cuneus,inferior,superior,taking,higher,cortical,demand,abstract
cerebral,active,metabolic,flow,passive,blood,resting,neuronal,global,image,rest,emission,value,comparison,brain,rate,reported,subject,induced,activity,anesthesia,higher,quantitative,mapping,eyes,transmission,direct,lower,concentration,resolution,attention,without,projection,spatial,local,water,period,energy,associated,physiological
familiar,recollection,unfamiliar,based,recognition,contrast,perirhinal cortex,difference,process,associated,see,subject,recognized,objective,strength,image,remember,stimuli,case,novel,type,one,anterior,comparison,perirhinal,finding,results,form,role,well,name,response,rhinal,theory,experience,x,hand,related,due,false
amygdala,amygdala response,analysis,emotional,stimuli,process,role,right,may,left,finding,limbic,bilateral,human,results,amygdala hippocampus,healthy,structure,response,habituation,relevant,function,increased,prefrontal,anatomical,volume,amygdala insula,prefrontal cortex,emotional stimuli,condition,aversive,work,show,negative,control,salient,amygdala anterior,reactivity,well,affective
context,information,schema,reactive,relevant,presented,context dependent,interaction,proactive,process,lower,results,event,proactive control,associated,critical,pattern,mechanisms,framing,sensitive,manipulation,representation,local,suggest,global,expectation,alone,influence,isolation,involvement,parahippocampal cortex,situation,specific,goal,expected,work,top,flexibility,source,beta
cue,cues,cued,cueing,neural,trial,presented,type,related,ms,paradigm,interval,information,preparation,validity,contrast,spatial,process,anticipation,cue validity,subsequent,induced,behavior,expectation,onset,signal,value,retro,event,stimulus,visual,period,expected,mechanisms,based,analysis,four,non,index,duration
naming,generation,production,overt,aphasia,name,covert,verbal fluency,associated,left,task,picture,area,language,pattern,word,see,generate,correct,word generation,retrieval,number,results,single,specific,speech,speech production,verbal,may,one,related,presented,item,analysis,semantic,articulation,oral,producing,head,anomia
adhd,youth,children,adult,brain,medication,diagnosis,symptom,hyperactivity,disorder,parent,region,sample,finding,attention deficit hyperactivity disorder,control,difference,deficit,group,birth,clinical,comparison,iv,scale,childhood,impulsivity,age,right,analysis,inattention,attention,associated,healthy,adolescents,decreased,term,without,abnormal,effect,left
